ENTREZID	SYMBOL
24785	Slc9a4
24786	Sod1
24787	Sod2
24788	Sord
24790	Sp1
24791	Sparc
24792	Agxt
24794	Serpina3c
24795	Serpina3n
24796	Spn
24797	Sst
24799	Eef1a2
24800	Sts
24802	Svs4
24803	Vamp2
24804	Syp
24805	Syt2
24806	Tac1
24807	Tacr1
24808	Tacr3
24811	Tap1
24812	Tap2
24813	Tat
24816	Tbxa2r
24817	Hnf1a
24818	Tcp1
24820	Tcrb
24821	Trg
24822	Tmbim6
24825	Tf
24826	Tg
24827	Tgfa
24828	H2ac1
24829	H2bc1
24831	Thrb
24832	Thy1
24833	Spink1
24834	Tk1
24835	Tnf
24837	Tnnt2
24838	Tnnt3
24839	Tnp1
24840	Tnp2
24841	Klk1c2
24842	Tp53
24848	Tph1
24849	Tpi1
24851	Tpm1
24852	Tpm4
24854	Clu
24855	Tsc2
24856	Ttr
24860	Ucp1
24861	Ugt1a1
24862	Ugt2b
24864	Pgc
24867	Smr3b
24873	Vdr
24874	Vhl
24875	Vipr1
24877	Vsnl1
24881	Wnt1
24882	Wnt3
24883	Wt1
24884	Yes1
24886	Tbxas1
24887	Bax
24888	Bcl2l1
24889	Cckar
24890	Esr1
24891	Abcb4
24892	Pgy2
24894	Cyp2a1
24895	Cyp2a2
24896	Gnas
24898	Slc6a3
24899	Smcp
24902	Sult2a6
24903	Kng2
24904	Slc22a1
24906	LOC24906
24907	Dmd
24908	Dnajb9
24912	Sult2a1
24913	Plaat3
24914	Lox
24915	Pdlim4
24916	Rnf112
24917	Kpnb1
24918	Stat5a
24919	Yy1
24922	Gabrb3
24923	Stx1b
24924	Ptn
24925	Adrb1
24926	Ceacam3
24929	Ptger3
24930	Cd8a
24931	Cd8b
24932	Cd4
24933	Klra22
24934	Klrk1
24936	Cd9
24937	Kap
24938	Grpr
24941	Atp7a
24942	Chm
24943	Plp1
24944	Lamp2
24946	F9
24947	Gabra3
24948	Fmr1
24949	Syn1
24950	Srd5a1
24952	Gcg
24953	Gcgr
24954	Insr
24957	Glul
24959	Pgam2
24962	Cth
24963	Hspa1l
24967	Psmb9
24968	Psmb8
24973	RT1-A1
24974	RT1-A2
24977	RT1-Cl
24981	RT1-Db2
24984	RT1-DOa
24986	RT1-Ha
24988	RT1-M2
24994	RT1-S2
25007	Tacr2
25008	Lta
25009	Vars1
25011	Cyp2c12
25012	Snap25
25013	Semg1
25014	Acat1
25017	Myo5a
25019	Xrcc6
25021	Itgam
25022	Fgfr2
25023	Prkcb
25024	Gipr
25026	Adm
25027	Slc16a1
25028	Ampd1
25029	Calcrl
25030	Andpro
25031	Plcb4
25033	Sstr1
25035	Cyb5r3
25036	Scn2x
25037	Mobp
25040	Gip
25041	P2rx6
25043	Eln
25044	Sds
25045	Dbi
25046	Pigr
25047	Fcer1a
25048	Klkb1
25049	Atxn1
25050	Camk4
25051	Glp1r
25052	Prss2
25053	Cyp2d2
25054	Ntrk2
25055	Lipa
25056	Rbp1
25058	Hk1
25059	Hk2
25060	Hk3
25061	Crabp1
25062	Gpd2
25065	Slc12a1
25066	Pvr
25069	Tnfrsf8
25073	Scarb1
25075	Htr1b
25080	Apoa4
25081	Apoa1
25083	Adra2a
25084	Il4r
25085	Th
25086	Cyp2e1
25087	Kng2l1
25094	Mitf
25095	Ampd3
25096	Pld1
25097	Pld2
25098	Foxa1
25099	Foxa2
25100	Foxa3
25101	Chrna3
25102	Chrna5
25103	Chrnb4
25104	Pc
25105	Nppb
25106	Rgn
25107	Avpr1a
25108	Avpr2
25109	Cd1d1
25110	Klrd1
25111	Chrm4
25112	Gadd45a
25113	Ddn
25114	Fgfr4
25116	Hsd11b1
25117	Hsd11b2
25118	Itga1
25119	Mr1
25120	Aanat
25121	Pcsk2
25122	Scnn1a
25123	Tagln
25124	Stat1
25125	Stat3
25126	Stat5b
25128	Umod
25129	Egr4
25130	Stx2
25132	Myo5b
25133	Pcdhb12
25134	Gnmt
25135	Ncl
25136	Gfra2
25139	Slc2a4
25140	Livtr
25145	Cd24
25146	Cyp17a1
25147	Cyp19a1
25148	Egr3
25149	Esr2
25150	Fyn
25151	Igf2r
25152	Map1a
25153	Mas1
25154	Pgr
25155	Syk
25156	Vav1
25157	Plagl1
25159	Gata2
25162	Sp4
25163	Cdkn2a
25164	Cdkn2b
25165	Zfp386
25166	Casp1
25167	Ptpra
25172	Gata1
25176	Slc25a5
25177	Fhl1
25179	Idh3g
25181	Bgn
25183	Gdi1
25186	Efnb1
25187	Htr2c
25192	Klrb1b
25193	Ccnd3
25194	Gnrh1
25195	Drd5
25196	Inhbb
25197	St6gal1
25198	Cdh14
25202	Gucy1b1
25203	Ccnb1
25204	Pcsk1
25205	Il6st
25206	Gucy1b2
25211	Lyz2
25216	Sdc1
25217	Tapbp
25218	Vps52
25221	Sry
25223	Tspy1
25225	Uba1y
25227	Arsb
25229	Chrm1
25230	Add3
25231	Onecut1
25232	Tyro3
25233	Akt2
25235	Ghr
25236	Gpc3
25237	Acvrl1
25238	Grk2
25239	Apod
25240	Aqp1
25241	Aqp5
25242	Arnt
25243	Arnt2
25244	Bckdha
25245	Bdkrb2
25246	Bsg
25247	Nsg1
25248	Cnr1
25249	Coq7
25250	Cox8b
25251	Cyp2g1
25252	Dlg1
25253	Dpp4
25254	Dspp
25255	Dyrk1a
25256	Fmo1
25257	Gamt
25258	Glycam1
25259	Gp5
25260	Gstt1
25261	Id1
25262	Itpr1
25263	Mal
25264	Nmbr
25265	P2ry1
25266	Pdgfa
25267	Pdgfra
25268	Proc
25269	Pvalb
25270	Abcd3
25271	Rxra
25272	Mapk10
25273	Smo
25274	Tst
25275	Cnp
25276	Sycp1
25277	Mfge8
25278	Cox6a2
25279	Cyp24a1
25280	St8sia1
25281	Nup153
25282	Cox6a1
25283	Gclc
25284	Amacr
25285	Igfbp5
25287	Acadl
25288	Acsl1
25289	Adcy6
25290	Alox5
25291	Anxa3
25292	Apoc1
25293	Aqp4
25294	Azgp1
25295	Bglap
25296	Bmp4
25297	Cacnb3
25298	Cck
25300	Cd247
25301	Cebpg
25302	Chrna7
25303	Abcc2
25304	Comp
25305	Cort
25306	Cpd
25307	Cst3
25308	Cstb
25309	Cycs
25310	Cyct
25311	Dcc
25312	Dmp1
25313	Egf
25314	Emp1
25315	Ephx1
25316	Ms4a2
25317	Fgf1
25318	Fnta
25319	Fth1
25320	Gast
25321	Ghrhr
25322	Hsd17b1
25323	Htr1d
25324	Htr4
25325	Il10
25326	Jak3
25327	Kcnc1
25328	Lamp1
25329	Lhb
25330	Lipe
25331	Mat1a
25332	Mgmt
25333	Mgp
25334	Bhlha15
25335	Mmp7
25336	Nfyb
25337	Nfyc
25338	Ninj1
25339	Npr3
25340	Npy5r
25341	Tnfrsf11b
25342	Oxtr
25343	Pdc
25344	Phb1
25345	Prm2
25346	Ros1
25347	Rpl39
25348	Rps29
25349	Scn2b
25350	Sftpd
25351	Slc2a2
25352	Sod3
25353	Spp1
25354	Sstr5
25356	Cntn2
25357	Thrsp
25358	Timp3
25359	Tmpo
25360	Tshr
25361	Vcam1
25362	Slc30a2
25363	Acadvl
25364	Asic2
25365	Actg2
25366	Acvr2b
25367	Adarb1
25368	Adk
25369	Adora2a
25371	Adprh
25372	Grk3
25373	Ahsg
25374	Alad
25375	Aldh3a1
25376	Ambn
25377	Ambp
25378	Amh
25379	Anp32a
25380	Anxa1
25383	Apobec1
25385	Faslg
25386	Aqp2
25387	Arrb1
25388	Arrb2
25389	Atf3
25390	Atp1b3
25391	Atp2a3
25392	Atp5if1
25393	Bcan
25394	Bfsp1
25398	Cacna1a
25399	Cacna2d1
25400	Camk2a
25401	Alx1
25402	Casp3
25403	Cast
25404	Cav1
25405	Ccng1
25406	Cd44
25407	Cd59
25408	Cd80
25409	Cdh6
25410	Cebpe
25411	Cnga2
25412	Col2a1
25413	Cpt2
25414	Bcar1
25415	Crmp1
25416	Dpysl2
25417	Dpysl4
25418	Dpysl3
25419	Crp
25420	Cryab
25421	Crybb1
25422	Crybb2
25423	Ctsc
25424	Ctse
25425	Ctsh
25426	Cyp1b1
25427	Cyp51
25428	Cyp7a1
25429	Cyp7b1
25430	Dio1
25431	Dlx5
25432	Drd4
25433	Hbegf
25434	Sparcl1
25435	Eef2k
25437	Emd
25438	Eno3
25439	F2r
25440	Fabp6
25441	Fcer1g
25443	Fgf10
25444	Fgf9
25445	Fosl1
25446	Fosl2
25447	Fshb
25448	Cenpi
25449	Fshr
25450	Gabrb1
25451	Gabrb2
25453	Gdnf
